"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000085246",149.185234741377,-1.20580475072626,0.286068774193962,-4.21508692839259,2.49681997982006e-05,0.000636909520374002
"ENSMUSG00000131201",65.9704689989616,1.58462497979608,0.376540768335799,4.20837559449316,2.57213074896064e-05,0.000650896526472651
"ENSMUSG00000104713",85.9566399519942,1.33360180371863,0.316943339920256,4.20769783032567,2.5798552100505e-05,0.000651388420653424
"ENSMUSG00000037321",116.568436333489,1.21624996653017,0.291633586522024,4.1704728904341,3.03968215399876e-05,0.000743769435212812
"ENSMUSG00000108081",35.8411846422925,2.08479812891281,0.501222178478857,4.15942912829575,3.19043994014706e-05,0.0007729035294027
"ENSMUSG00000025213",188.42449239901,1.00215440138904,0.241471740621831,4.15019330547054,3.32194607395336e-05,0.00079506576818173
"ENSMUSG00000002831",467.044459703203,1.73318755659273,0.427569357482053,4.05358224639725,5.04392552461367e-05,0.0011289868230586
"ENSMUSG00000029716",61.62883948729,1.67067745503466,0.413120057373552,4.04404827414127,5.25360946489368e-05,0.00115637619966884
"ENSMUSG00000140427",77.9281621899817,1.52150705824784,0.37714762499486,4.03424801698958,5.47774370381805e-05,0.00119741819726378
"ENSMUSG00000074934",139.818049107697,1.16274999232104,0.289713397661552,4.01344915943234,5.98378953483254e-05,0.00128505923361566
"ENSMUSG00000106928",91.3689006251581,-1.45672872160808,0.36397510834293,-4.00227567275173,6.27361404586844e-05,0.00132756690302185
"ENSMUSG00000114089",35.7391924462498,-2.18163565988216,0.548039286098677,-3.980801587077,6.86832623552904e-05,0.00141772866714804
"ENSMUSG00000040562",121.631172967939,1.1092885010625,0.281057751511963,3.94683475227077,7.91911731650497e-05,0.00157203425485928
"ENSMUSG00000131495",93.3667598618357,-1.24840694457978,0.31705738773304,-3.93747943710092,8.23419855544599e-05,0.00162354694098198
"ENSMUSG00000097286",60.8186100134336,1.75016633923411,0.444635249990536,3.93618441019096,8.27873660200683e-05,0.00162627542743007
"ENSMUSG00000025991",45.6965010469387,-1.75672334156581,0.453440982058714,-3.87420504778798,0.000106973316516142,0.00199532857520485
"ENSMUSG00000057246",116.036663226428,1.10816207234527,0.286806482442131,3.86379716005499,0.000111637935514475,0.00205817873688636
"ENSMUSG00000035429",69.9946487368556,1.47989783495061,0.384569216953414,3.84819629265824,0.000118990695148758,0.0021660940748042
"ENSMUSG00000090877",228.924225686942,-1.12803321515418,0.294770144253749,-3.82682316083926,0.000129807699064221,0.00234067159073496
"ENSMUSG00000121015",69.5777843164177,-1.55515759781764,0.406871725801467,-3.82223069139113,0.00013224987808652,0.0023721388967844
"ENSMUSG00000108957",127.901434300936,-1.07195025672846,0.280542431644022,-3.8209915357426,0.000132916214416572,0.00237872126070739
"ENSMUSG00000030406",53.767342527182,1.55987052413986,0.409392624116089,3.81020671172996,0.000138850646067211,0.0024524929560001
"ENSMUSG00000098708",75.8372737708623,1.41941472742555,0.372536476902194,3.81013622942004,0.0001388902378807,0.0024524929560001
"ENSMUSG00000045725",86.324906941396,1.22946089591318,0.324351960070969,3.79051477180583,0.000150335391110208,0.00260537626556535
"ENSMUSG00000049649",164.081467255438,-1.09370386932108,0.290379338091826,-3.76646588048639,0.000165574699495776,0.00281136343258218
"ENSMUSG00000061816",49.3708483860315,1.58240363853166,0.420075394918057,3.76695149888589,0.000165253089374412,0.00281136343258218
"ENSMUSG00000024430",67.115630106128,1.34680868527318,0.358066859990435,3.76133296811987,0.000169010267100074,0.00286039527662873
"ENSMUSG00000056771",80.4432542662955,-1.24459330086496,0.332404527582845,-3.74421284185059,0.000180960206485243,0.00303356498044671
"ENSMUSG00000143017",75.1644332750343,1.42541756075314,0.383617207835218,3.71572893926443,0.000202618708364968,0.00331618590456856
"ENSMUSG00000039903",135.457260290116,1.03461402456061,0.279089192774193,3.70710887898014,0.000209638828952395,0.00340652379316101
"ENSMUSG00000048782",133.029668695661,-1.0307932304111,0.278145351201507,-3.70595167583559,0.000210598453948316,0.00341603552754758
"ENSMUSG00000130767",59.0877122890092,1.42766340531701,0.386985175243655,3.6891940483718,0.000224965587167405,0.00361857602354696
"ENSMUSG00000045259",90.7632990757315,1.14829822330407,0.313463390821765,3.66326102800626,0.000249024540076636,0.00391802255622229
"ENSMUSG00000109771",46.3413222748282,1.59007163048346,0.434677678985323,3.65804757721905,0.000254143877308893,0.00399096294287838
"ENSMUSG00000032611",69.4490773923472,-1.32483139664801,0.362248775152239,-3.65724189430656,0.000254943765543277,0.00399957188747657
"ENSMUSG00000025498",158.643435983137,1.10544942755394,0.303013579980236,3.64818443987246,0.000264100022693887,0.00411881998101203
"ENSMUSG00000085244",173.591816317616,1.00569461554639,0.277968449284692,3.61801714595446,0.00029686873363359,0.00452333453011027
