"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000143881",28.1012709439353,-1.69180527912514,0.420659885936725,-4.02178894561773,5.77577995315933e-05,0.000904658274885586,"Downregulated"
"ENSMUSG00000118449",53.1975618188411,1.09725034844858,0.273892241646623,4.00613884443012,6.1719377598184e-05,0.0009603062835273,"Upregulated"
"ENSMUSG00000096753",27.3867563767584,1.65005335889776,0.412755242794244,3.99765572383124,6.39729042484989e-05,0.000988098656197597,"Upregulated"
"ENSMUSG00000097903",27.0981075833049,1.55418228971584,0.389272529589899,3.99253009544028,6.53720330460047e-05,0.00100676739894958,"Upregulated"
"ENSMUSG00000116125",27.5831676687282,1.57369390866768,0.395784102730247,3.97614229023305,7.00422260235478e-05,0.00106703376748409,"Upregulated"
"ENSMUSG00000110982",29.4784058674245,-1.49626840961409,0.376720287982245,-3.97182858833611,7.13230347602028e-05,0.00108498242446366,"Downregulated"
"ENSMUSG00000032818",45.162814143808,1.21234304410474,0.305651887761271,3.96641765566859,7.29609663516318e-05,0.00110354766345154,"Upregulated"
"ENSMUSG00000142285",14.7260383035971,2.17546772766193,0.549475859222277,3.95916889004198,7.52110379834176e-05,0.00113352629947211,"Upregulated"
"ENSMUSG00000085287",41.1552419340759,1.29620005197453,0.327860407802267,3.95351198597993,7.70124042063781e-05,0.00115491296946373,"Upregulated"
"ENSMUSG00000112143",22.3493041711439,1.73766532963539,0.439774141373989,3.95126763071241,7.77383301252419e-05,0.00116414801026787,"Upregulated"
"ENSMUSG00000094103",15.4744256229581,3.17268201497771,0.803019150466441,3.95094190858938,7.78442194216728e-05,0.00116490871880486,"Upregulated"
"ENSMUSG00000052392",31.2745511907664,1.44635618255283,0.366480282010932,3.94661392044467,7.92642162086916e-05,0.00118197591800619,"Upregulated"
"ENSMUSG00000135461",46.793428727312,1.17986921475005,0.29895275655787,3.94667447905487,7.92441793127991e-05,0.00118197591800619,"Upregulated"
"ENSMUSG00000044139",35.9723117111876,-1.33380085331991,0.338363557679842,-3.94191638859035,8.0833157005185e-05,0.00120198108640973,"Downregulated"
"ENSMUSG00000029177",62.7993692061414,-1.0013696855664,0.254463026533091,-3.9352266583066,8.31182157238217e-05,0.00123249275699874,"Downregulated"
"ENSMUSG00000025401",39.8857946442285,-1.25310893337757,0.319312248471442,-3.92439982924627,8.69462278051555e-05,0.0012767208242639,"Downregulated"
"ENSMUSG00000135923",30.7768246385588,1.47346476716883,0.376200844752003,3.916697125282,8.97704152770193e-05,0.0013109084468457,"Upregulated"
"ENSMUSG00000030450",87.6912784210874,1.01400358210142,0.258920879712929,3.91626810176789,8.99302368036622e-05,0.00131143093600927,"Upregulated"
"ENSMUSG00000107859",78.5652798859521,1.02866459330101,0.262836579973895,3.91370407194909,9.08910166249354e-05,0.00132270512493755,"Upregulated"
"ENSMUSG00000129843",36.7679181026702,1.36476670038063,0.348707182895343,3.91379004312117,9.08586454634997e-05,0.00132270512493755,"Upregulated"
"ENSMUSG00000087575",41.2400336449464,1.18886567067518,0.304848747909421,3.89985420254515,9.62506314312806e-05,0.00138168336837368,"Upregulated"
"ENSMUSG00000130362",44.859688616292,1.23018978899682,0.316633842830741,3.88521257866434,0.000102240387306288,0.00145092146952447,"Upregulated"
"ENSMUSG00000028378",63.109367036697,-1.01221017943812,0.260845950458158,-3.88049029574828,0.00010424610453195,0.00147443737814587,"Downregulated"
"ENSMUSG00000141894",29.1674323835312,1.69359414017797,0.436420640509278,3.8806462916182,0.000104179258741489,0.00147443737814587,"Upregulated"
"ENSMUSG00000020872",20.0421524884036,1.85637322846996,0.478644686833055,3.87839514265295,0.00010514783034444,0.00148322273024228,"Upregulated"
"ENSMUSG00000036596",10.7305129397796,-2.84638452966644,0.735962145686953,-3.8675692035894,0.000109925638302574,0.00153932292841585,"Downregulated"
"ENSMUSG00000087616",54.6328295494028,1.06200511761356,0.274730026581121,3.86563176522671,0.000110802008326206,0.0015495426362815,"Upregulated"
"ENSMUSG00000120832",19.3150213270521,1.84524091775862,0.478189170702515,3.85880950638792,0.000113940704304448,0.00158400801611936,"Upregulated"
"ENSMUSG00000105942",8.84142539443434,-3.6536713324077,0.949390131473584,-3.84844039482136,0.000118872211642616,0.00163856122241402,"Downregulated"
"ENSMUSG00000113210",32.0270255864677,1.32474991840825,0.346031556466405,3.82840782481312,0.000128974916288994,0.00175720013204302,"Upregulated"
"ENSMUSG00000006204",30.6492607627306,-1.38492037930891,0.363187653974129,-3.81323639213674,0.000137158807844459,0.00184727579100069,"Downregulated"
"ENSMUSG00000120456",18.5563486306529,1.80008889244528,0.472511830171338,3.8096165587908,0.0001391824792929,0.00187214600804604,"Upregulated"
"ENSMUSG00000031163",16.4253844950891,2.02355999132322,0.53183315974313,3.80487743994861,0.000141874421432553,0.00190351182816708,"Upregulated"
"ENSMUSG00000024066",563.069839155246,1.0222355509234,0.268949180646245,3.80085021440525,0.000144200454027903,0.00192982189900001,"Upregulated"
"ENSMUSG00000082985",54.0977905697937,1.04138444203715,0.27417928803203,3.79818785551555,0.000145757838784776,0.00194819816757528,"Upregulated"
"ENSMUSG00000078838",19.3406083220618,1.97068229928635,0.519003547215764,3.79704976942495,0.000146428399057502,0.0019559245092046,"Upregulated"
"ENSMUSG00000024164",55.5981249336164,1.29356521364448,0.340707011049696,3.79670852577729,0.000146630025177668,0.00195738123887739,"Upregulated"
"ENSMUSG00000129828",20.9924281670532,1.74339226810237,0.459303039041774,3.79573423189087,0.000147207132972074,0.0019638453165265,"Upregulated"
