"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance"
"ENSMUSG00000111090",14.9516013354278,0.403336180359429,0.559874352681555,0.720404816594338,0.471275785287825,NA,"Not significant"
"ENSMUSG00000111094",1.22388773411124,-1.33161565368111,2.20517363694446,-0.603859773839048,0.545936874967472,NA,"Not significant"
"ENSMUSG00000111097",3.38904037410826,-0.378871544566145,2.00026550390823,-0.189410627652122,0.849770995573481,NA,"Not significant"
"ENSMUSG00000111103",5.6283892937395,-0.645101842278602,0.958651900634386,-0.672926055695197,0.500994334821587,NA,"Not significant"
"ENSMUSG00000111107",1.54437820525126,0.59629180738451,1.67246554064659,0.356534584954126,0.721440256438941,NA,"Not significant"
"ENSMUSG00000111126",3.27243932463149,-0.779841087026525,1.30239800614909,-0.598773250069957,0.549324102770281,NA,"Not significant"
"ENSMUSG00000111131",3.9649965652219,-1.21325944305165,1.11287858453885,-1.0901992902976,0.275625365917186,NA,"Not significant"
"ENSMUSG00000111142",3.0408367419956,2.66803045426323,1.51665138895021,1.75915867924664,0.0785505604459532,NA,"Not significant"
"ENSMUSG00000111143",2.04339608379668,0.743578566850806,1.74779473953767,0.425438153594341,0.670517297642318,NA,"Not significant"
"ENSMUSG00000111144",1.86296394893812,0.0585034015057969,1.81915635904381,0.032159633345947,0.974344747438422,NA,"Not significant"
"ENSMUSG00000111147",5.88911712473366,-0.219365010351352,0.981053761547881,-0.223601416098995,0.82306746167921,NA,"Not significant"
"ENSMUSG00000111151",21.0922807112706,-0.0442701775764152,0.464919210684297,-0.0952212267401376,0.924139110091473,NA,"Not significant"
"ENSMUSG00000111155",3.11189401341298,-0.133216632387496,1.35762303800005,-0.0981249055582771,0.921833111180694,NA,"Not significant"
"ENSMUSG00000111157",1.27226673910558,0.659397390607313,2.11151122856303,0.312286944860842,0.754822460784303,NA,"Not significant"
"ENSMUSG00000111160",1.25938123556604,-1.39520500828348,2.30838111820779,-0.604408430340442,0.545572132258568,NA,"Not significant"
"ENSMUSG00000111169",1.79103108335033,-0.00959200027180742,1.93201759231,-0.0049647582454665,0.996038712321344,NA,"Not significant"
"ENSMUSG00000111172",3.29007569333014,-0.171074943959317,1.3176221568421,-0.129836116576338,0.896696087857733,NA,"Not significant"
"ENSMUSG00000111189",1.79749158220095,-0.175121570456008,1.61119740616872,-0.108690325459517,0.913448115557532,NA,"Not significant"
"ENSMUSG00000111193",3.89583527443129,-0.166749731162282,1.09743823621173,-0.151944524675838,0.879230690357628,NA,"Not significant"
"ENSMUSG00000111203",3.08795420686978,-0.337385506047172,1.38049316824183,-0.244394911766829,0.806924982145335,NA,"Not significant"
"ENSMUSG00000111205",2.89852390314408,-0.422891687735692,1.34269524241495,-0.314957314494602,0.752794063711586,NA,"Not significant"
"ENSMUSG00000111210",1.7409710872439,-0.686866048429439,1.75495255420564,-0.391387246785336,0.695511017618695,NA,"Not significant"
"ENSMUSG00000111212",4.44475725791504,0.458132100319308,1.10330435391491,0.41523637488939,0.677968872922979,NA,"Not significant"
"ENSMUSG00000111219",13.5772763673895,-0.261664997297134,0.581846235494689,-0.449715030079494,0.652915932428218,NA,"Not significant"
"ENSMUSG00000111221",3.9204734368069,0.176099403453019,1.06687313893918,0.165061240203422,0.868895780322544,NA,"Not significant"
"ENSMUSG00000111223",1.67722128753967,-1.25666299544728,1.82038840891827,-0.690326849638663,0.489988666781324,NA,"Not significant"
"ENSMUSG00000111227",2.11807089263752,0.363500551207104,1.6202642825347,0.224346457010367,0.822487729872297,NA,"Not significant"
"ENSMUSG00000111228",3.43606101461764,1.1039280705943,1.22310162537497,0.902564470271114,0.366757090470492,NA,"Not significant"
"ENSMUSG00000111229",33.7572821219491,-0.0566610783288233,0.389308150467259,-0.145543005613464,0.884282163638468,NA,"Not significant"
"ENSMUSG00000111241",1.56835781365819,-0.274053424347292,1.81749150802884,-0.150786632639905,0.880144031302188,NA,"Not significant"
"ENSMUSG00000111243",5.51482898546022,-1.11617535291163,0.927091526407744,-1.20395378570284,0.228607441297833,NA,"Not significant"
"ENSMUSG00000111246",27.9430936628284,0.372266833903478,0.468374271918054,0.794806325247107,0.426726171042509,NA,"Not significant"
"ENSMUSG00000111250",1.5524434120147,-0.873374605333814,1.73804846668458,-0.502503021103793,0.615313727809845,NA,"Not significant"
"ENSMUSG00000111253",5.3912484207388,1.04026042294714,0.918618456501465,1.13241837847341,0.257458581790554,NA,"Not significant"
"ENSMUSG00000111254",3.67465386258104,-0.309704713106296,1.21973532223104,-0.253911408042041,0.799564001215885,NA,"Not significant"
"ENSMUSG00000111260",2.66588637608514,-1.68049301389951,1.96501407498404,-0.855206604010282,0.392436780839452,NA,"Not significant"
"ENSMUSG00000111264",39.8464471910035,-0.554523805875488,0.381500741983184,-1.45353270610396,0.146075905669555,NA,"Not significant"
"ENSMUSG00000111269",4.19228717800792,-2.49514457813285,1.21684040743425,-2.05051094859181,0.0403145964911101,NA,"Not significant"
"ENSMUSG00000111272",2.15583616283428,-0.496719168774945,1.5612617981865,-0.31815238760848,0.750369346874951,NA,"Not significant"
